"id","obsDay","currentMood","period","treatment"
71,125,8,NA,NA
63,125,10,NA,NA
59,125,2,"t",1
18,126,10,"t",1
19,126,10,"t",1
53,127,10,NA,NA
45,127,7,"t",1
4,127,10,"t",1
71,128,6,NA,NA
59,128,1,"t",1
33,128,9,"b",0
63,128,10,NA,NA
19,129,10,"t",1
18,129,10,"t",1
4,130,10,"t",1
45,130,7,"t",1
53,130,10,NA,NA
71,131,8,NA,NA
63,131,8,NA,NA
33,131,10,"t",1
59,131,10,"t",1
18,132,10,"t",1
19,132,10,"t",1
4,133,10,"t",1
45,133,8,"t",1
53,133,5,NA,NA
59,134,6,"t",1
71,134,8,NA,NA
63,134,8,NA,NA
33,134,10,"t",1
19,135,10,"t",1
18,135,10,"t",1
53,136,1,NA,NA
45,136,6,"t",1
63,137,8,NA,NA
71,137,3,NA,NA
33,137,9,"t",1
59,137,10,"t",1
44,138,6,"t",1
22,138,9,NA,NA
72,138,10,NA,NA
58,138,10,NA,NA
75,138,9,"b",0
31,138,10,"t",1
39,138,8,"t",1
60,138,8,NA,NA
64,138,8,NA,NA
18,138,9,"t",1
69,138,10,NA,NA
50,138,9,NA,NA
6,138,8,"t",1
35,138,8,NA,NA
40,138,2,"t",1
85,138,10,NA,NA
9,138,1,NA,NA
53,139,1,NA,NA
45,139,7,"t",1
59,140,1,"t",1
63,140,10,NA,NA
33,140,9,"t",1
6,141,10,"t",1
40,141,7,"t",1
72,141,10,NA,NA
18,141,7,"t",1
39,141,9,"t",1
44,141,7,"t",1
64,141,9,NA,NA
60,141,9,NA,NA
35,141,9,NA,NA
50,141,5,NA,NA
85,141,10,NA,NA
31,141,5,"t",1
45,142,9,"t",1
9,142,10,NA,NA
53,142,5,NA,NA
59,143,10,"t",1
6,144,6,"t",1
85,144,10,NA,NA
72,144,10,NA,NA
64,144,10,NA,NA
39,144,8,"t",1
44,144,5,"t",1
18,144,8,"t",1
35,144,9,NA,NA
50,144,8,NA,NA
60,144,9,NA,NA
40,144,8,"t",1
